kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z16predicate_kernelPfS_i",0,0,0,4,112574,92160,192,0,0,0,1,0,0x0,0.000011,0.273605,37.632000,0,0.000000,0.328400,0.124822,0.000000,81.714286
"_Z16predicate_kernelPfS_i",1,0,0,6,112574,92160,192,0,0,0,1,0,0x0,0.000014,0.202442,26.880000,0,0.000000,0.345237,0.092356,0.000000,63.555556
"_Z16predicate_kernelPfS_i",2,0,0,7,112574,92160,192,0,0,0,1,0,0x0,0.000010,0.275801,37.632000,0,0.000000,0.283104,0.017975,0.000000,81.714286
"_Z16predicate_kernelPfS_i",3,0,0,8,112574,92160,192,0,0,0,1,0,0x0,0.000012,0.235249,31.360000,0,0.000000,0.353912,0.107324,0.000000,63.555556
"_Z16predicate_kernelPfS_i",4,0,0,9,112574,92160,192,0,0,0,1,0,0x0,0.000012,0.240360,34.210909,0,0.000000,0.383792,0.109655,0.000000,63.555556
"_Z16predicate_kernelPfS_i",5,0,0,10,112574,92160,192,0,0,0,1,0,0x0,0.000012,0.231464,31.360000,0,0.000000,0.323075,0.105597,0.000000,63.555556
"_Z16predicate_kernelPfS_i",6,0,0,11,112574,92160,192,0,0,0,1,0,0x0,0.000013,0.217180,28.947692,0,0.000000,0.307856,0.099080,0.000000,63.555556
"_Z16predicate_kernelPfS_i",7,0,0,12,112574,92160,192,0,0,0,1,0,0x0,0.000013,0.217693,28.947692,0,0.000000,0.319224,0.099314,0.000000,63.555556
"_Z16predicate_kernelPfS_i",8,0,0,13,112574,92160,192,0,0,0,1,0,0x0,0.000014,0.204021,26.880000,0,0.000000,0.258177,0.093077,0.000000,63.555556
"_Z16predicate_kernelPfS_i",9,0,0,14,112574,92160,192,0,0,0,1,0,0x0,0.000011,0.255758,34.210909,0,0.000000,0.206967,0.016669,0.000000,81.714286
"_Z16predicate_kernelPfS_i",10,0,0,15,112574,92160,192,0,0,0,1,0,0x0,0.000011,0.258893,34.210909,0,0.000000,0.220754,0.016873,0.000000,81.714286
