kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z9vcopyfromiiPKdPd",0,0,0,4,81668,652288,64,0,0,1,1,0,0x0,0.000031,0.650003,87.581867,0,0.000000,0.063251,0.005566,0.000000,83.505155
"_Z9vcopyfromiiPKdPd",1,0,0,6,81668,652288,64,0,0,1,1,0,0x0,0.000036,0.550624,72.984889,0,0.000000,0.089159,0.040293,0.000000,66.122449
"_Z9vcopyfromiiPKdPd",2,0,0,7,81668,652288,64,0,0,1,1,0,0x0,0.000031,0.650372,87.581867,0,0.000000,0.100247,0.042529,0.000000,83.505155
"_Z9vcopyfromiiPKdPd",3,0,0,8,81668,652288,64,0,0,1,1,0,0x0,0.000034,0.585745,77.278118,0,0.000000,0.094846,0.042863,0.000000,66.393443
"_Z9vcopyfromiiPKdPd",4,0,0,9,81668,652288,64,0,0,1,1,0,0x0,0.000034,0.587675,77.278118,0,0.000000,0.095158,0.043004,0.000000,66.393443
"_Z9vcopyfromiiPKdPd",5,0,0,10,81668,652288,64,0,0,1,1,0,0x0,0.000034,0.584530,77.278118,0,0.000000,0.093284,0.041409,0.000000,65.853659
"_Z9vcopyfromiiPKdPd",6,0,0,11,81668,652288,64,0,0,1,1,0,0x0,0.000035,0.579310,77.278118,0,0.000000,0.150176,0.047353,0.000000,65.833333
"_Z9vcopyfromiiPKdPd",7,0,0,12,81668,652288,64,0,0,1,1,0,0x0,0.000035,0.574460,77.278118,0,0.000000,0.145341,0.043379,0.000000,65.560166
"_Z9vcopyfromiiPKdPd",8,0,0,13,81668,652288,64,0,0,1,1,0,0x0,0.000035,0.577674,77.278118,0,0.000000,0.149752,0.047219,0.000000,65.975104
"_Z9vcopyfromiiPKdPd",9,0,0,14,81668,652288,64,0,0,1,1,0,0x0,0.000031,0.645587,84.756645,0,0.000000,0.099007,0.041714,0.000000,83.505155
"_Z9vcopyfromiiPKdPd",10,0,0,15,81668,652288,64,0,0,1,1,0,0x0,0.000031,0.645042,84.756645,0,0.000000,0.125537,0.011047,0.000000,83.246073
