kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z25batcherBitonicMergesort64PfPKf",0,0,0,4,90872,61440,64,0,0,0,0,0,0x0,0.000008,0.239617,35.108571,1920,0.000000,5.569089,0.844649,0.000000,99.385965
"_Z25batcherBitonicMergesort64PfPKf",1,0,0,6,90872,61440,64,0,0,0,0,0,0x0,0.000014,0.137533,18.904615,1920,0.000000,2.377023,0.912300,0.000000,88.862745
"_Z25batcherBitonicMergesort64PfPKf",2,0,0,7,90872,61440,64,0,0,0,0,0,0x0,0.000008,0.238949,35.108571,1920,0.000000,5.408204,0.601354,0.000000,99.385965
"_Z25batcherBitonicMergesort64PfPKf",3,0,0,8,90872,61440,64,0,0,0,0,0,0x0,0.000011,0.167495,22.341818,1920,0.000000,3.278711,1.186422,0.000000,88.793103
"_Z25batcherBitonicMergesort64PfPKf",4,0,0,9,90872,61440,64,0,0,0,0,0,0x0,0.000011,0.165353,22.341818,1920,0.000000,3.016315,1.150581,0.000000,88.793103
"_Z25batcherBitonicMergesort64PfPKf",5,0,0,10,90872,61440,64,0,0,0,0,0,0x0,0.000012,0.162822,22.341818,1920,0.000000,3.017639,1.161465,0.000000,88.862745
"_Z25batcherBitonicMergesort64PfPKf",6,0,0,11,90872,61440,64,0,0,0,0,0,0x0,0.000012,0.160668,22.341818,1920,0.000000,2.979060,1.214385,0.000000,88.862745
"_Z25batcherBitonicMergesort64PfPKf",7,0,0,12,90872,61440,64,0,0,0,0,0,0x0,0.000012,0.158437,22.341818,1920,0.000000,2.700026,1.120940,0.000000,88.862745
"_Z25batcherBitonicMergesort64PfPKf",8,0,0,13,90872,61440,64,0,0,0,0,0,0x0,0.000012,0.158898,22.341818,1920,0.000000,2.751589,1.144068,0.000000,88.862745
"_Z25batcherBitonicMergesort64PfPKf",9,0,0,14,90872,61440,64,0,0,0,0,0,0x0,0.000008,0.229903,30.720000,1920,0.000000,5.458273,0.578588,0.000000,99.385965
"_Z25batcherBitonicMergesort64PfPKf",10,0,0,15,90872,61440,64,0,0,0,0,0,0x0,0.000008,0.234210,30.720000,1920,0.000000,4.904754,0.421579,0.000000,99.385965
