kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z20AccuracyDivideKerneliPf",0,0,0,2,30348,246016,16,0,0,1,0,0,0x0,0.000044,5.480702,595.015442,0,0.000000,17.544591,3.971869,0.000000,99.961340
"_Z20AccuracyDivideKerneliPf",1,0,0,4,30348,246016,16,0,0,1,0,0,0x0,0.000049,4.940811,533.034667,0,0.000000,15.480842,3.584465,0.000000,99.493362
"_Z20AccuracyDivideKerneliPf",2,0,0,5,30348,246016,16,0,0,1,0,0,0x0,0.000044,5.482813,595.015442,0,0.000000,17.545286,3.952361,0.000000,99.961340
"_Z20AccuracyDivideKerneliPf",3,0,0,6,30348,246016,16,0,0,1,0,0,0x0,0.000046,5.229221,568.570311,0,0.000000,16.407972,3.783159,0.000000,99.493362
"_Z20AccuracyDivideKerneliPf",4,0,0,7,30348,246016,16,0,0,1,0,0,0x0,0.000047,5.146744,556.210087,0,0.000000,16.114369,3.715791,0.000000,99.493362
"_Z20AccuracyDivideKerneliPf",5,0,0,8,30348,246016,16,0,0,1,0,0,0x0,0.000046,5.241628,568.570311,0,0.000000,16.453720,3.795203,0.000000,99.493362
"_Z20AccuracyDivideKerneliPf",6,0,0,9,30348,246016,16,0,0,1,0,0,0x0,0.000047,5.123421,556.210087,0,0.000000,16.073666,3.715280,0.000000,99.493362
"_Z20AccuracyDivideKerneliPf",7,0,0,10,30348,246016,16,0,0,1,0,0,0x0,0.000046,5.223962,568.570311,0,0.000000,16.345605,3.765085,0.000000,99.493362
"_Z20AccuracyDivideKerneliPf",8,0,0,11,30348,246016,16,0,0,1,0,0,0x0,0.000045,5.333999,568.570311,0,0.000000,17.053118,3.857228,0.000000,99.961340
"_Z20AccuracyDivideKerneliPf",9,0,0,12,30348,246016,16,0,0,1,0,0,0x0,0.000044,5.453875,581.492364,0,0.000000,17.462260,3.937175,0.000000,99.961340
"_Z20AccuracyDivideKerneliPf",10,0,0,13,30348,246016,16,0,0,1,0,0,0x0,0.000044,5.468850,595.015442,0,0.000000,17.493135,3.951543,0.000000,99.961340
