kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",0,0,0,14,63162,1032256,64,0,0,4,7,0,0x0,0.000046,1.233914,118.032696,0,0.000000,0.411276,0.037174,0.000000,93.867334
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",1,0,0,16,63162,1032256,64,0,0,4,7,0,0x0,0.000052,1.101180,106.460863,0,0.000000,0.378194,0.622482,0.000000,85.034014
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",2,0,0,17,63162,1032256,64,0,0,4,7,0,0x0,0.000046,1.232265,118.032696,0,0.000000,0.423214,0.037124,0.000000,93.867334
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",3,0,0,18,63162,1032256,64,0,0,4,7,0,0x0,0.000050,1.150449,110.806204,0,0.000000,0.395115,0.495312,0.000000,84.937712
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",4,0,0,19,63162,1032256,64,0,0,4,7,0,0x0,0.000050,1.145914,110.806204,0,0.000000,0.393557,0.621407,0.000000,85.227273
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",5,0,0,20,63162,1032256,64,0,0,4,7,0,0x0,0.000050,1.142201,110.806204,0,0.000000,0.392282,0.562771,0.000000,85.227273
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",6,0,0,21,63162,1032256,64,0,0,4,7,0,0x0,0.000050,1.137589,108.590080,0,0.000000,0.390698,0.597263,0.000000,84.841629
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",7,0,0,22,63162,1032256,64,0,0,4,7,0,0x0,0.000050,1.140161,108.590080,0,0.000000,0.391581,0.509618,0.000000,85.130533
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",8,0,0,23,63162,1032256,64,0,0,4,7,0,0x0,0.000046,1.231866,118.032696,0,0.000000,0.410594,0.037112,0.000000,93.867334
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",9,0,0,24,63162,1032256,64,0,0,4,7,0,0x0,0.000046,1.228451,118.032696,0,0.000000,0.382203,0.033308,0.000000,93.867334
"_Z9_kgauss32iiPfPiS0_S_S0_S0_S_f",10,0,0,25,63162,1032256,64,0,0,4,7,0,0x0,0.000046,1.228517,118.032696,0,0.000000,0.369775,0.033310,0.000000,93.867334
