path,function,time,blocks,matrix
./data/kernels/11386/5/main.cu,saxpy2D,15.031,"(8, 8)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,14.831,"(16, 16)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.271,"(24, 24)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.371,"(32, 32)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.321,"(1, 64)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.531,"(1, 128)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.541,"(1, 192)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.581,"(1, 256)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.381,"(1, 320)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.331,"(1, 384)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.621,"(1, 448)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.341,"(1, 512)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.591,"(1, 576)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,14.591,"(1, 640)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,14.911,"(1, 704)","(240, 240)"
./data/kernels/11386/5/main.cu,saxpy2D,15.271,"(1, 768)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,14.991,"(8, 8)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,14.331,"(16, 16)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,17.311,"(24, 24)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,16.971,"(32, 32)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,16.651,"(1, 64)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,15.321,"(1, 128)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,15.732,"(1, 192)","(240, 240)"
./data/kernels/11386/6/main.cu,saxpy2D,16.121,"(1, 256)","(240, 240)"
