path,function,time,blocks,matrix
./data/kernels/2006/0/main.cu,capByScalar,15.451,"(8, 8)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.331,"(16, 16)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.451,"(24, 24)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.541,"(32, 32)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.611,"(1, 64)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.381,"(1, 128)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.381,"(1, 192)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.631,"(1, 256)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.331,"(1, 320)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.371,"(1, 384)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.371,"(1, 448)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.441,"(1, 512)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.381,"(1, 576)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.521,"(1, 640)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.621,"(1, 704)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,24.742,"(1, 768)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.421,"(1, 832)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.771,"(1, 896)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.411,"(1, 960)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.551,"(1, 1024)","(240, 240)"
./data/kernels/2006/0/main.cu,capByScalar,14.631,"(8, 8)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.781,"(16, 16)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.701,"(24, 24)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.541,"(32, 32)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,15.001,"(1, 64)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.491,"(1, 128)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.541,"(1, 192)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.661,"(1, 256)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.651,"(1, 320)","(496, 496)"
./data/kernels/2006/0/main.cu,capByScalar,14.571,"(1, 384)","(496, 496)"
