path,function,time,blocks,matrix
./data/kernels/14324/0/main.cu,sum,15.422,"(24, 24)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.121,"(32, 32)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.191,"(1, 64)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.401,"(1, 128)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.791,"(1, 192)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.801,"(1, 256)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.511,"(1, 320)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.021,"(1, 384)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.182,"(1, 448)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.531,"(1, 512)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.881,"(1, 576)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.771,"(1, 640)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.141,"(1, 704)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,17.211,"(1, 768)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.601,"(1, 832)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.091,"(1, 896)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.171,"(1, 960)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,15.721,"(1, 1024)","(496, 496)"
./data/kernels/14324/0/main.cu,sum,16.711,"(8, 8)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.991,"(16, 16)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.651,"(24, 24)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.901,"(32, 32)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.662,"(1, 64)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.871,"(1, 128)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,16.231,"(1, 192)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,16.151,"(1, 256)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.691,"(1, 320)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.491,"(1, 384)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.731,"(1, 448)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,16.621,"(1, 512)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,21.542,"(1, 576)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.571,"(1, 640)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.391,"(1, 704)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.711,"(1, 768)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,16.061,"(1, 832)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,16.501,"(1, 896)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.441,"(1, 960)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.691,"(1, 1024)","(784, 784)"
./data/kernels/14324/0/main.cu,sum,15.591,"(8, 8)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.661,"(16, 16)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.231,"(24, 24)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.071,"(32, 32)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.801,"(1, 64)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.321,"(1, 128)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.531,"(1, 192)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.851,"(1, 256)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.451,"(1, 320)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.291,"(1, 384)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.421,"(1, 448)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,17.191,"(1, 512)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.021,"(1, 576)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,18.051,"(1, 640)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.041,"(1, 704)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.061,"(1, 768)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,16.051,"(1, 832)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,21.991,"(1, 896)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.531,"(1, 960)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.801,"(1, 1024)","(1016, 1016)"
./data/kernels/14324/0/main.cu,sum,15.461,"(8, 8)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.952,"(16, 16)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.751,"(24, 24)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,18.031,"(32, 32)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,16.201,"(1, 64)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,16.631,"(1, 128)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,15.491,"(1, 192)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.721,"(1, 256)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,16.101,"(1, 320)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,18.061,"(1, 384)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,18.091,"(1, 448)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,18.621,"(1, 512)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.191,"(1, 576)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.851,"(1, 640)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,15.821,"(1, 704)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.181,"(1, 768)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.071,"(1, 832)","(1232, 1232)"
./data/kernels/14324/0/main.cu,sum,17.491,"(1, 896)","(1232, 1232)"
