kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",0,0,0,8,96929,2822400,16,0,0,4,1,0,0x0,0.000448,1.498945,115.800000,0,0.000000,3.370761,0.160577,0.000000,95.319962
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",1,0,0,10,96929,2822400,16,0,0,4,1,0,0x0,0.000454,1.480537,114.269604,0,0.000000,3.330195,0.160257,0.000000,88.780053
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",2,0,0,11,96929,2822400,16,0,0,4,1,0,0x0,0.000448,1.498947,115.800000,0,0.000000,3.375334,0.160961,0.000000,95.319962
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",3,0,0,12,96929,2822400,16,0,0,4,1,0,0x0,0.000452,1.487933,115.029712,0,0.000000,3.346069,0.161058,0.000000,88.780053
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",4,0,0,13,96929,2822400,16,0,0,4,1,0,0x0,0.000453,1.483866,114.521854,0,0.000000,3.337739,0.170170,0.000000,76.205050
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",5,0,0,14,96929,2822400,16,0,0,4,1,0,0x0,0.000452,1.486126,114.775221,0,0.000000,3.341241,0.158824,0.000000,95.224451
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",6,0,0,15,96929,2822400,16,0,0,4,1,0,0x0,0.000452,1.486621,114.775221,0,0.000000,3.341550,0.160915,0.000000,88.770053
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",7,0,0,16,96929,2822400,16,0,0,4,1,0,0x0,0.000449,1.498521,115.800000,0,0.000000,3.379181,0.160915,0.000000,95.324427
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",8,0,0,17,96929,2822400,16,0,0,4,1,0,0x0,0.000449,1.498601,115.800000,0,0.000000,3.360323,0.160156,0.000000,95.302013
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",9,0,0,18,96929,2822400,16,0,0,4,1,0,0x0,0.000449,1.498651,115.800000,0,0.000000,3.373099,0.160546,0.000000,95.319962
"_Z24DXbinaryentropyXsigmoidYiPKdS0_S0_Pd",10,0,0,19,96929,2822400,16,0,0,4,1,0,0x0,0.000449,1.498622,115.800000,0,0.000000,3.371173,0.160542,0.000000,95.311005
