path,function,time,blocks,matrix
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.29,"(1, 832)","(784, 784)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.94,"(1, 896)","(784, 784)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.33,"(1, 960)","(784, 784)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.58,"(1, 1024)","(784, 784)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.26,"(8, 8)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.4,"(16, 16)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.67,"(24, 24)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.14,"(32, 32)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.2,"(1, 64)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.25,"(1, 128)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.33,"(1, 192)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.011,"(1, 256)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.671,"(1, 320)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,15.93,"(1, 384)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.79,"(1, 448)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.3,"(1, 512)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.25,"(1, 576)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.18,"(1, 640)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.96,"(1, 704)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.04,"(1, 768)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.49,"(1, 832)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.24,"(1, 896)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.43,"(1, 960)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.25,"(1, 1024)","(1016, 1016)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.29,"(8, 8)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.08,"(16, 16)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.43,"(24, 24)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.83,"(32, 32)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.27,"(1, 64)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.58,"(1, 128)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.26,"(1, 192)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.481,"(1, 256)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.44,"(1, 320)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.21,"(1, 384)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.53,"(1, 448)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.1,"(1, 512)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.67,"(1, 576)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.09,"(1, 640)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,17.31,"(1, 704)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.09,"(1, 768)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,17.49,"(1, 832)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.55,"(1, 896)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.53,"(1, 960)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.04,"(1, 1024)","(1232, 1232)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.42,"(8, 8)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.36,"(16, 16)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.86,"(24, 24)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.11,"(32, 32)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.57,"(1, 64)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.5,"(1, 128)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.42,"(1, 192)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.36,"(1, 256)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.68,"(1, 320)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.8,"(1, 384)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.09,"(1, 448)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.58,"(1, 512)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,17.02,"(1, 576)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.72,"(1, 640)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.51,"(1, 704)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.46,"(1, 768)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.49,"(1, 832)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.09,"(1, 896)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,24.81,"(1, 960)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.53,"(1, 1024)","(1680, 1680)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.75,"(8, 8)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,16.49,"(16, 16)","(2024, 2024)"
./data/kernels/3599/10/main.cu,matrix_multiply_kernel,17.03,"(24, 24)","(2024, 2024)"
