path,function,time,blocks,matrix
./data/kernels/16910/21/main.cu,average_snips,26.0,"(1, 128)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,28.08,"(1, 192)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.2,"(1, 256)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,26.191,"(1, 320)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.91,"(1, 384)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.51,"(1, 448)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,26.03,"(1, 512)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.44,"(1, 576)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.921,"(1, 640)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,26.42,"(1, 704)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.7,"(1, 768)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.59,"(1, 832)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,26.35,"(1, 896)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,25.57,"(1, 960)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,26.46,"(1, 1024)","(1016, 1016)"
./data/kernels/16910/21/main.cu,average_snips,24.96,"(8, 8)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.62,"(16, 16)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.21,"(24, 24)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.66,"(32, 32)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.33,"(1, 64)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.591,"(1, 128)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.56,"(1, 192)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,33.451,"(1, 256)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,27.04,"(1, 320)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,31.0,"(1, 384)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,31.21,"(1, 448)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.95,"(1, 512)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.66,"(1, 576)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.47,"(1, 640)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.911,"(1, 704)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.13,"(1, 768)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.79,"(1, 832)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.18,"(1, 896)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.37,"(1, 960)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,25.96,"(1, 1024)","(1232, 1232)"
./data/kernels/16910/21/main.cu,average_snips,26.19,"(8, 8)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.02,"(16, 16)","(1680, 1680)"
./data/kernels/16910/21/main.cu,average_snips,26.03,"(24, 24)","(1680, 1680)"
